Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
velour-sofa-case,Velour Sofa Case,<p>A masterfully upholstered sofa in premium velour fabric. Clean lines and deep cushioning make it the centrepiece of any refined living space.</p>,MAISON,Sofa,"living-room,sofa,new-arrival,featured",true,Color,Ivory,,,SKU-VSC-01,6500,shopify,12,deny,manual,1200.00,1500.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuCYoGYhzqnK_mOSFfEwA2MEhhTaE0t957CLNkTPiwtIqQJKsxrizxfdH8bDZ1ti3P6J80Uzaz-bIu3L_0AUSbNQd9Ak7WHqKt0vNhH0n0bWfe7FiVj4BbFGgmVxjX9LkMMcpXg7acUFzxx9qsCkraukUwbFcSoh318xG1A-DNHVroerFWCWuSh1XuXTBrHos-IHPPiKT2O4qZitDZP4Hhb9FFHbMyJqZaYjxhs9dlVmCI1zIIKxBxqYvD6E0Vs3xkaxs0L21Z4VhG-u,1,Velour Sofa Case,false,active
velour-sofa-case,,,,,,,,Charcoal,,,SKU-VSC-02,6500,shopify,8,deny,manual,1200.00,1500.00,true,true,,,,,active
velour-sofa-case,,,,,,,,Sand,,,SKU-VSC-03,6500,shopify,5,deny,manual,1200.00,1500.00,true,true,,,,,active
lounge-armchair,Lounge Armchair,<p>A sculptural lounge armchair with solid oak frame and premium full-grain leather upholstery.</p>,MAISON,Armchair,"living-room,armchair,leather,signature",true,Color,Cognac,,,SKU-LA-01,9000,shopify,8,deny,manual,3600.00,4200.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuCX0NJ5IZw6V8jp-Kl3K3yAAA_Dd02psPio3JHEybxSo370mpbLYrXmCuYl428miwPyyVm81opBCKf_u6eHmE-RcVeBOtBJZyRaZMYeGwjcvgAd7yqTy6hQgFpzlGKB41EiyFanuxytcXjwCrHnlm2AOBxBQWF81cws0jxK4UF2aub4mDMok47cQHX381wcQ9SruO23lhlBlWqwBXnGu_9VWh5dFngfocX0agwznEva-b0SoPJKmLNgRmie6Ayodwjv6QNP61ZCJzbY,1,Lounge Armchair,false,active
lounge-armchair,,,,,,,,Midnight Black,,,SKU-LA-02,9000,shopify,5,deny,manual,3600.00,4200.00,true,true,,,,,active
marble-center-table,Marble Center Table,<p>Carved from a single slab of premium marble with hand-polished brass legs. A statement piece that anchors any luxury interior.</p>,MAISON,Coffee Table,"living-room,table,marble,signature-series,featured",true,Marble,Black Marquina,,,SKU-MCT-01,35000,shopify,5,deny,manual,8400.00,9800.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuC7OPJbVOBPbof7-SSXheApfVFQAMsoQeuNw3y7NygwxaOSJ2zKvVPeera1GuGN_eCwPZUyWRiW-dCm8GuIKkwO15fhtE-T-ewg2IRwjR3YCaWZIeeO6CpYlGAvslJwbO9trdOjQR5z5CxIEwM2CHtBayKOgepNuG_Ye1DKpIWkYQ1qryn4I09V0-BT5iEQ9SIj7sT0NDKZzCmwGtcGOC3QLwglXuRqU5ECvdtYrEP34CLKIJ323RuvJvMsjO3uvviYOivqvHD-8Cah,1,Marble Center Table,false,active
marble-center-table,,,,,,,,Calacatta White,,,SKU-MCT-02,35000,shopify,3,deny,manual,8400.00,9800.00,true,true,,,,,active
bedroom-platform-bed,Bedroom Platform Bed,<p>A low-profile platform bed with a generous bouclé fabric headboard and solid walnut base.</p>,MAISON,Bed,"bedroom,bed,new-arrival",true,Size,Queen,,,SKU-BPB-01,45000,shopify,6,deny,manual,6800.00,7500.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuAawwcXXzz-CkfIUSvD26Gmrr8zQsJIIDBys-Wa9VfhwAt2ZFxg6q3mR2xvdubw6M228rZzHz_DjbKQ7Rna9O-0xFQLwKBL8NNA1in52jek7BDAs7uLUJQlyPeWiCTmF9Fn-ah2tRfukWf1sq4QDtH8_jOzlzGM63TlU-2hpIoxG6nltzRnOXIVLqDwZu7Th-4L6_C4LNozdDAKAUw-pFLQcK_4aye755HFZKXmUeMtd0uypj9ij1aIW69N8AlQV2vZwkGBHuFr8rrg,1,Bedroom Platform Bed,false,active
bedroom-platform-bed,,,,,,,,King,,,SKU-BPB-02,55000,shopify,4,deny,manual,7800.00,8600.00,true,true,,,,,active
dining-stone-table,Dining Stone Table,<p>A heavy dining table with a raw-edge quartzite stone top and minimal matte black steel base. Seats 6.</p>,MAISON,Dining Table,"dining,table,stone,new-arrival",true,Finish,Natural Stone,,,SKU-DST-01,80000,shopify,4,deny,manual,12500.00,14000.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuBGrz2NoytoaKLrm_5JnKxsB01pvD5vZDT5MnPScelB7fBbzh-GUaclfuyD8VAwgIgQNd5VAP_AXDAq15i69kwoAC5VQBTa1zH3Un0KkzTnRf6lEN22UUgehyY8sVpm2Ed9ExgBNpp6bNRwAdI1LWs0HsB8o124YQLp1XlaD44kglCq-Rkw0z2SCLXa4lF9Y1JvSOqqFWUeamCv2kty1pNe0Oz8Yc_smnroGAk0CfVT3nJJClQWlSSm0kF21hl5d7tVFMYenYO6NBhE,1,Dining Stone Table,false,active
wishbone-oak-chair,Wishbone Oak Chair,<p>A reinterpretation of the classic wishbone silhouette in solid smoked oak with hand-woven paper cord seat.</p>,MAISON,Dining Chair,"dining,chair,oak,signature",true,Quantity,Single,,,SKU-WOC-01,4500,shopify,16,deny,manual,1800.00,2200.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuBGrz2NoytoaKLrm_5JnKxsB01pvD5vZDT5MnPScelB7fBbzh-GUaclfuyD8VAwgIgQNd5VAP_AXDAq15i69kwoAC5VQBTa1zH3Un0KkzTnRf6lEN22UUgehyY8sVpm2Ed9ExgBNpp6bNRwAdI1LWs0HsB8o124YQLp1XlaD44kglCq-Rkw0z2SCLXa4lF9Y1JvSOqqFWUeamCv2kty1pNe0Oz8Yc_smnroGAk0CfVT3nJJClQWlSSm0kF21hl5d7tVFMYenYO6NBhE,1,Wishbone Oak Chair,false,active
wishbone-oak-chair,,,,,,,,Set of 4,,,SKU-WOC-04,18000,shopify,4,deny,manual,6400.00,7800.00,true,true,,,,,active
arc-floor-lamp,Arc Floor Lamp,<p>A dramatic arc floor lamp in brushed brass with a hand-spun ceramic shade and weighted marble base.</p>,MAISON,Floor Lamp,"lighting,lamp,brass,featured",true,Shade,Ivory Ceramic,,,SKU-AFL-01,8000,shopify,7,deny,manual,4200.00,5000.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuCSX7C-bf_Cwiq-xXANuAF6IHmJfev7hZBVIkNW7loosbGm96GIt8D5vuTWo7Y7F2nuezuZ3-jjhR1KkhnKh4dDvuEUm_Ymf6c3WRCM3q2rhuBstTKjpbz3_BDJu_cwkZapKBaadu6rLdJnnnOztnJnozGMPQ5MwathRdJ1l2M-yIezH2tQTDFY5FsuTay_qXxURlahz0LHq2NaLnz08_MQebpEC-jlVB2MbP9RHR5Cw0PJsqHqNSSU8xEyTPQAI55iStXQMtEfMtsh,1,Arc Floor Lamp,false,active
arc-floor-lamp,,,,,,,,Charcoal Ceramic,,,SKU-AFL-02,8000,shopify,4,deny,manual,4200.00,5000.00,true,true,,,,,active
linen-curtain-set,Linen Curtain Set,"<p>Pre-washed Belgian linen curtains, 300cm × 140cm per panel, sold as a pair.</p>",MAISON,Curtains,"textiles,linen,bedroom,living-room",true,Color,Natural Linen,,,SKU-LCS-01,2500,shopify,15,deny,manual,950.00,1200.00,true,true,https://lh3.googleusercontent.com/aida-public/AB6AXuBkhNC2NtBjZ_fIm4PVDV_L86LHHkuxjOfclez3-xhaqlmLeefdCptG7WowSuT51_fmx38tbzEZok343ZAWCg08W5u9uvQVsnq86CW2k7dMeKjqpM8hxaRbHJd6L1pw0sftSWr1sM4vbjvVr65AzlZ6aEDo32kzCC1ny81g-cVKLfBsRAeNxK71Z2wSArzJDOw8K3XnqLiFZah-pE4lNdVuN34P_cjXmIwT7jVNfmF9kr4ZvROHjGu_YaVRlJTeYyAEL934sKJw5SG4,1,Linen Curtain Set,false,active
linen-curtain-set,,,,,,,,Warm White,,,SKU-LCS-02,2500,shopify,10,deny,manual,950.00,1200.00,true,true,,,,,active
linen-curtain-set,,,,,,,,Slate Grey,,,SKU-LCS-03,2500,shopify,8,deny,manual,950.00,1200.00,true,true,,,,,active
